image_name,name,Економічна правда; позитивні,Економічна правда; нейтральні,Економічна правда; негативні,Економічна правда; загалом,РБК-Україна; позитивні,РБК-Україна; нейтральні,РБК-Україна; негативні,РБК-Україна; загалом,Українська правда; позитивні,Українська правда; нейтральні,Українська правда; негативні,Українська правда; загалом,ZIK; позитивні,ZIK; нейтральні,ZIK; негативні,ZIK; загалом,LIGA.net; позитивні,LIGA.net; нейтральні,LIGA.net; негативні,LIGA.net; загалом,Obozrevatel; позитивні,Obozrevatel; нейтральні,Obozrevatel; негативні,Obozrevatel; загалом,24 канал; позитивні,24 канал; нейтральні,24 канал; негативні,24 канал; загалом,УНІАН; позитивні,УНІАН; нейтральні,УНІАН; негативні,УНІАН; загалом,LB.ua; позитивні,LB.ua; нейтральні,LB.ua; негативні,LB.ua; загалом,ТСН; позитивні,ТСН; нейтральні,ТСН; негативні,ТСН; загалом,Сьогодні; позитивні,Сьогодні; нейтральні,Сьогодні; негативні,Сьогодні; загалом,Гордон; позитивні,Гордон; нейтральні,Гордон; негативні,Гордон; загалом,УНН; позитивні,УНН; нейтральні,УНН; негативні,УНН; загалом,Апостроф; позитивні,Апостроф; нейтральні,Апостроф; негативні,Апостроф; загалом,Українські новини; позитивні,Українські новини; нейтральні,Українські новини; негативні,Українські новини; загалом,Страна.ua; позитивні,Страна.ua; нейтральні,Страна.ua; негативні,Страна.ua; загалом,Радіо Свобода; позитивні,Радіо Свобода; нейтральні,Радіо Свобода; негативні,Радіо Свобода; загалом,Фокус; позитивні,Фокус; нейтральні,Фокус; негативні,Фокус; загалом,Інтерфакс-Україна; позитивні,Інтерфакс-Україна; нейтральні,Інтерфакс-Україна; негативні,Інтерфакс-Україна; загалом,112.ua; позитивні,112.ua; нейтральні,112.ua; негативні,112.ua; загалом,ZN.UA; позитивні,ZN.UA; нейтральні,ZN.UA; негативні,ZN.UA; загалом,Znaj.ua; позитивні,Znaj.ua; нейтральні,Znaj.ua; негативні,Znaj.ua; загалом,Politeka; позитивні,Politeka; нейтральні,Politeka; негативні,Politeka; загалом,Громадське; позитивні,Громадське; нейтральні,Громадське; негативні,Громадське; загалом,Факти ICTV; позитивні,Факти ICTV; нейтральні,Факти ICTV; негативні,Факти ICTV; загалом,Главком; позитивні,Главком; нейтральні,Главком; негативні,Главком; загалом,Цензор.НЕТ; позитивні,Цензор.НЕТ; нейтральні,Цензор.НЕТ; негативні,Цензор.НЕТ; загалом,Корреспондент.net; позитивні,Корреспондент.net; нейтральні,Корреспондент.net; негативні,Корреспондент.net; загалом,Вголос; позитивні,Вголос; нейтральні,Вголос; негативні,Вголос; загалом,НВ; позитивні,НВ; нейтральні,НВ; негативні,НВ; загалом,Gazeta.ua; позитивні,Gazeta.ua; нейтральні,Gazeta.ua; негативні,Gazeta.ua; загалом,Zaxid.net; позитивні,Zaxid.net; нейтральні,Zaxid.net; негативні,Zaxid.net; загалом,Суспільне; позитивні,Суспільне; нейтральні,Суспільне; негативні,Суспільне; загалом,Укрінформ; позитивні,Укрінформ; нейтральні,Укрінформ; негативні,Укрінформ; загалом,ГолосUA; позитивні,ГолосUA; нейтральні,ГолосUA; негативні,ГолосUA; загалом,Букви; позитивні,Букви; нейтральні,Букви; негативні,Букви; загалом,КП в Украине; позитивні,КП в Украине; нейтральні,КП в Украине; негативні,КП в Украине; загалом,Факти; позитивні,Факти; нейтральні,Факти; негативні,Факти; загалом,Телеграф; позитивні,Телеграф; нейтральні,Телеграф; негативні,Телеграф; загалом,Вести; позитивні,Вести; нейтральні,Вести; негативні,Вести; загалом,Еспресо ТВ; позитивні,Еспресо ТВ; нейтральні,Еспресо ТВ; негативні,Еспресо ТВ; загалом,Бабель; позитивні,Бабель; нейтральні,Бабель; негативні,Бабель; загалом
v_zelenskyi,Володимир Зеленський,0,0,0,0,0,0,3,3,0,1,0,1,0,2,0,2,1,6,0,7,0,0,1,1,0,0,3,3,0,2,0,2,0,4,1,5,0,1,1,2,0,2,0,2,0,0,1,1,0,1,0,1,0,2,1,3,0,0,0,0,0,1,1,2,0,0,2,2,1,1,1,3,0,0,1,1,0,3,0,3,0,1,2,3,0,2,2,4,0,0,0,0,0,2,1,3,0,1,1,2,3,31,8,42,0,1,1,2,2,2,1,5,0,0,0,0,1,3,2,6,0,1,0,1,0,2,0,2,0,0,0,0,1,0,0,1,0,1,1,2,0,0,0,0,1,1,0,2,0,0,1,1,0,0,3,3,0,5,2,7,0,0,0,0,0,3,1,4
o_nikolenko,Олег Ніколенко,0,0,0,0,0,1,5,6,0,2,4,6,0,0,4,4,0,1,1,2,0,1,2,3,0,1,8,9,0,2,1,3,0,2,2,4,0,1,2,3,0,1,3,4,0,0,3,3,0,1,8,9,0,2,1,3,0,1,0,1,0,0,0,0,0,1,4,5,0,1,1,2,0,1,3,4,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,1,2,3,0,2,3,5,0,1,5,6,1,0,2,3,0,1,3,4,0,0,2,2,2,0,3,5,0,0,1,1,0,1,0,1,0,2,1,3,0,1,6,7,3,0,2,5,0,0,3,3,0,0,5,5,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,1,1,2
d_kuleba,Дмитро Кулеба,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,4,0,0,0,0,0,2,1,3,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,3,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,3,3,7,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,2,0,3,5,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,1,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0
m_stepanov,Максим Степанов,0,0,0,0,0,3,0,3,0,1,0,1,0,2,2,4,0,1,0,1,0,1,0,1,0,3,0,3,0,1,1,2,0,0,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,3,0,2,0,2,1,0,2,3,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,2,0,2,0,2,0,2
l_denisova,Людмила Денісова,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,10,9,22,0,0,0,0,0,1,1,2,0,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
v_liashko,Віктор Ляшко,0,0,0,0,0,4,0,4,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,4,1,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,1
o_korniienko,Олександр Корнієнко,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,12,24,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y_boiko,Юрій Бойко,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,4,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_medvedchuk,Віктор Медведчук,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_poroshenko,Петро Порошенко,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
